Channel_Metadata_ID,Antibody_Name,Channel_Name,Marker_Name
syn28564600,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564522,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564266,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564196,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564636,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564599,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564556,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564624,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564700,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564627,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564228,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564618,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564567,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564288,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564613,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564660,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564708,[],"['CD74' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1' 'CD31'
 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20' 'CD8'
 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
